index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y
Page_2_5,4,https://ak1.ostkcdn.com/images/products/25603796/L30915172.jpg?imwidth=480&impolicy=medium,"Rgb(r=165, g=159, b=156)",0.645847523716449,"Rgb(r=208, g=206, b=205)",0.354152476283551
Page_2_6,5,https://ak1.ostkcdn.com/images/products/12778658/L19552162.jpg?imwidth=480&impolicy=medium,"Rgb(r=225, g=218, b=211)",0.774539709122083,"Rgb(r=230, g=227, b=229)",0.225460290877917
Page_2_7,6,https://ak1.ostkcdn.com/images/products/9940157/L17095185.jpg?imwidth=480&impolicy=medium,"Rgb(r=177, g=1, b=13)",0.6222188253677094,"Rgb(r=169, g=86, b=47)",0.3777811746322905
Page_2_8,7,https://ak1.ostkcdn.com/images/products/12858776/L19621039.jpg?imwidth=480&impolicy=medium,"Rgb(r=230, g=226, b=221)",0.8185152461576395,"Rgb(r=182, g=175, b=163)",0.18148475384236049
Page_2_9,8,https://ak1.ostkcdn.com/images/products/5643371/73/785/Black-Microsuede-Feather-and-Down-Filled-Throw-Pillows-Set-of-2-L13396289.jpg?imwidth=480&impolicy=medium,"Rgb(r=37, g=33, b=44)",0.7096447032650658,"Rgb(r=252, g=252, b=252)",0.29035529673493427
Page_2_10,9,https://ak1.ostkcdn.com/images/products/22538235/L28158222.jpg?imwidth=480&impolicy=medium,"Rgb(r=213, g=161, b=101)",0.5092945317774135,"Rgb(r=219, g=206, b=196)",0.49070546822258654
Page_2_11,10,https://ak1.ostkcdn.com/images/products/7942863/7942863/Avanti-Pecan-Kidney-Decorative-Pillow-L15317278.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.7392841763975785,"Rgb(r=98, g=76, b=71)",0.2607158236024215
Page_2_12,11,https://ak1.ostkcdn.com/images/products/9551275/L16732083.jpg?imwidth=480&impolicy=medium,"Rgb(r=97, g=96, b=56)",0.51534500660418,"Rgb(r=74, g=74, b=39)",0.48465499339581997
Page_2_13,12,https://ak1.ostkcdn.com/images/products/8557479/L15834598.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=253)",0.5724270497777987,"Rgb(r=132, g=105, b=75)",0.4275729502222013
Page_2_14,13,https://ak1.ostkcdn.com/images/products/20873125/L26681522.jpg?imwidth=480&impolicy=medium,"Rgb(r=250, g=249, b=248)",0.6413514008242179,"Rgb(r=169, g=162, b=148)",0.35864859917578207
Page_2_15,14,https://ak1.ostkcdn.com/images/products/21492889/L27227030.jpg?imwidth=480&impolicy=medium,"Rgb(r=252, g=252, b=250)",0.7395812034687226,"Rgb(r=176, g=161, b=123)",0.2604187965312774
Page_2_16,15,https://ak1.ostkcdn.com/images/products/22840525/L28422179.jpg?imwidth=480&impolicy=medium,"Rgb(r=252, g=250, b=246)",0.8032788382500685,"Rgb(r=128, g=84, b=53)",0.1967211617499315
Page_2_17,16,https://ak1.ostkcdn.com/images/products/16600336/L22928700.jpg?imwidth=480&impolicy=medium,"Rgb(r=153, g=160, b=169)",0.6327150516319099,"Rgb(r=228, g=227, b=223)",0.36728494836809006
Page_2_18,17,https://ak1.ostkcdn.com/images/products/11682722/L18609560.jpg?imwidth=480&impolicy=medium,"Rgb(r=82, g=79, b=100)",0.7988600051817947,"Rgb(r=254, g=254, b=254)",0.20113999481820538
Page_2_19,18,https://ak1.ostkcdn.com/images/products/8816881/L16050951.jpg?imwidth=480&impolicy=medium,"Rgb(r=253, g=253, b=253)",0.7189334246257655,"Rgb(r=42, g=48, b=67)",0.2810665753742346
Page_2_20,19,https://ak1.ostkcdn.com/images/products/10737233/L17793393.jpg?imwidth=480&impolicy=medium,"Rgb(r=51, g=39, b=39)",0.6246778168198912,"Rgb(r=254, g=254, b=254)",0.37532218318010874
Page_2_21,20,https://ak1.ostkcdn.com/images/products/8869836/L16095531.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.73439149787792,"Rgb(r=29, g=86, b=79)",0.26560850212208
Page_2_22,21,https://ak1.ostkcdn.com/images/products/20352041/L16293583.jpg?imwidth=480&impolicy=medium,"Rgb(r=250, g=250, b=250)",0.5802260561375803,"Rgb(r=8, g=28, b=49)",0.4197739438624198
Page_2_23,22,https://ak1.ostkcdn.com/images/products/22828396/L28411802.jpg?imwidth=480&impolicy=medium,"Rgb(r=181, g=154, b=129)",0.6675064928760407,"Rgb(r=253, g=253, b=252)",0.3324935071239593
Page_2_24,23,https://ak1.ostkcdn.com/images/products/22536524/L28156757.jpg?imwidth=480&impolicy=medium,"Rgb(r=249, g=249, b=249)",0.7568695121502113,"Rgb(r=148, g=148, b=148)",0.24313048784978877
