index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y,location-on-pltt,match1,match2,match3,palette_name,position_on_pltt
Page_2_14,13,https://ak1.ostkcdn.com/images/products/20873125/L26681522.jpg?imwidth=480&impolicy=medium,"(250, 249, 248)",0.6413514008242179,"(169, 162, 148)",0.3586485991757821,"[1486, 1]",105,950,1362,Backyard Picks,1
Page_2_15,14,https://ak1.ostkcdn.com/images/products/21492889/L27227030.jpg?imwidth=480&impolicy=medium,"(252, 252, 250)",0.7395812034687226,"(176, 161, 123)",0.2604187965312774,"[1646, 2]",630,449,854,Upcycling Style,2
Page_2_16,15,https://ak1.ostkcdn.com/images/products/22840525/L28422179.jpg?imwidth=480&impolicy=medium,"(252, 250, 246)",0.8032788382500685,"(128, 84, 53)",0.1967211617499315,"[1217, 2]",455,1509,121,Summer Backyard,2
Page_2_17,16,https://ak1.ostkcdn.com/images/products/16600336/L22928700.jpg?imwidth=480&impolicy=medium,"(153, 160, 169)",0.6327150516319099,"(228, 227, 223)",0.3672849483680901,"[847, 0]",272,26,1490,Sweet Sensations,0
Page_2_18,17,https://ak1.ostkcdn.com/images/products/11682722/L18609560.jpg?imwidth=480&impolicy=medium,"(82, 79, 100)",0.7988600051817947,"(254, 254, 254)",0.20113999481820535,"[1167, 3]",851,1737,1215,Mellow Macaron,3
Page_2_19,18,https://ak1.ostkcdn.com/images/products/8816881/L16050951.jpg?imwidth=480&impolicy=medium,"(253, 253, 253)",0.7189334246257655,"(42, 48, 67)",0.2810665753742346,"[513, 1]",321,5,1313,Makeshift Slumber,1
Page_2_20,19,https://ak1.ostkcdn.com/images/products/10737233/L17793393.jpg?imwidth=480&impolicy=medium,"(51, 39, 39)",0.6246778168198912,"(254, 254, 254)",0.3753221831801088,"[2374, 1]",1215,1721,1679,Countryside Blooms,1
Page_2_21,20,https://ak1.ostkcdn.com/images/products/8869836/L16095531.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.73439149787792,"(29, 86, 79)",0.26560850212208,"[684, 0]",159,562,123,Morning Sun,0
Page_2_22,21,https://ak1.ostkcdn.com/images/products/20352041/L16293583.jpg?imwidth=480&impolicy=medium,"(250, 250, 250)",0.5802260561375803,"(8, 28, 49)",0.4197739438624198,"[1530, 1]",1721,381,110,Deep Macros,1
Page_2_23,22,https://ak1.ostkcdn.com/images/products/22828396/L28411802.jpg?imwidth=480&impolicy=medium,"(181, 154, 129)",0.6675064928760407,"(253, 253, 252)",0.3324935071239593,"[1894, 1]",1215,1404,1667,Chocolate Pop,1
Page_2_24,23,https://ak1.ostkcdn.com/images/products/22536524/L28156757.jpg?imwidth=480&impolicy=medium,"(249, 249, 249)",0.7568695121502113,"(148, 148, 148)",0.2431304878497888,"[1486, 1]",1058,936,365,Backyard Picks,1
Page_2_25,24,https://ak1.ostkcdn.com/images/products/7896234/L15276938.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.5153286619293755,"(58, 84, 101)",0.4846713380706245,"[684, 0]",889,1239,110,Morning Sun,0
Page_2_26,25,https://ak1.ostkcdn.com/images/products/20881980/L19863713.jpg?imwidth=480&impolicy=medium,"(249, 249, 249)",0.9055217605749584,"(167, 180, 119)",0.09447823942504167,"[1486, 1]",1725,194,717,Backyard Picks,1
Page_2_27,26,https://ak1.ostkcdn.com/images/products/21490168/L15834572.jpg?imwidth=480&impolicy=medium,"(250, 250, 250)",0.7665937272064187,"(172, 171, 139)",0.2334062727935813,"[1530, 1]",457,928,441,Deep Macros,1
Page_2_28,27,https://ak1.ostkcdn.com/images/products/9551296/L16732102.jpg?imwidth=480&impolicy=medium,"(97, 96, 56)",0.5015135941877983,"(74, 74, 39)",0.4984864058122017,"[2374, 0]",668,56,521,Countryside Blooms,0
Page_2_29,28,https://ak1.ostkcdn.com/images/products/19886908/L25812534.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.5407624566265474,"(27, 29, 35)",0.4592375433734526,"[684, 0]",5,499,365,Morning Sun,0
