,dn_crop,dn_order,box_order,class_name,class_id,image,index_image,crop_width,crop_height,crop_area,left_x,top_y,width,height,deviation-score,centerness-score,RGB_x,Proportion_x,RGB_y,Proportion_y,palette_name,position_on_pltt,match1,match2,match3,RGB_x_hex
1512,img_1534_2983_446_Book.jpg.jpg,1534,2983,Book,446,Pillow_select/Page_9_39.jpg,Page_9_39,468,470,219960,7,3,468,470,0.7132682463129841,334.5220471060166,"Rgb(r=229, g=225, b=217)",0.9347292700607818,"Rgb(r=189, g=183, b=173)",0.0652707299392182,Flower Girl,3,271,386,737,#e5e1d9
1513,img_1535_2985_432_Clothing.jpg.jpg,1535,2985,Clothing,432,Pillow_select/Page_9_40.jpg,Page_9_40,344,332,114208,68,72,345,333,0.7623609628751834,258.3998839009027,"Rgb(r=33, g=40, b=44)",0.7662645137880987,"Rgb(r=254, g=254, b=254)",0.2337354862119013,Cotton Candy,0,123,77,185,#21282c
1514,img_1536_2987_446_Book.jpg.jpg,1536,2987,Book,446,Pillow_select/Page_9_42.jpg,Page_9_42,464,479,222256,11,-13,463,498,0.7434729617791418,357.0017506959875,"Rgb(r=114, g=34, b=37)",0.7022147107496215,"Rgb(r=254, g=253, b=253)",0.2977852892503785,Summer Sting,0,253,1149,410,#722225
1515,img_1537_2990_465_Furniture.jpg.jpg,1537,2990,Furniture,465,Pillow_select/Page_9_43.jpg,Page_9_43,479,352,168608,-7,88,497,352,0.6145260564851098,257.03355812033567,"Rgb(r=215, g=211, b=207)",0.706568145757801,"Rgb(r=183, g=176, b=172)",0.2934318542421989,Fox in Snow,0,654,1049,601,#d7d3cf
1516,img_1538_2991_68_Person.jpg.jpg,1538,2991,Person,68,Pillow_select/Page_9_44.jpg,Page_9_44,478,438,209364,-2,39,481,438,0.6509879800389661,298.8013554186125,"Rgb(r=143, g=158, b=154)",0.6432514839923449,"Rgb(r=254, g=254, b=254)",0.3567485160076551,Crossing the Bridge,0,999,315,773,#8f9e9a
1517,img_1539_2993_432_Clothing.jpg.jpg,1539,2993,Clothing,432,Pillow_select/Page_9_45.jpg,Page_9_45,479,336,160944,-21,71,525,336,0.6196482891669868,260.25228145013443,"Rgb(r=11, g=45, b=22)",0.5751320024504323,"Rgb(r=254, g=254, b=254)",0.4248679975495678,Blushing Flamingos,0,97,1422,724,#0b2d16
1518,img_1540_2994_256_Curtain.jpg.jpg,1540,2994,Curtain,256,Pillow_select/Page_9_46.jpg,Page_9_46,327,296,96792,58,91,327,297,0.7343159579296088,228.84164830729569,"Rgb(r=170, g=83, b=53)",0.658945389116727,"Rgb(r=205, g=129, b=94)",0.3410546108832731,Peachy Keen,1,466,932,434,#aa5335
1519,img_1541_2996_465_Furniture.jpg.jpg,1541,2996,Furniture,465,Pillow_select/Page_9_47.jpg,Page_9_47,442,374,165308,21,54,441,374,0.6788656611278743,275.7013783063117,"Rgb(r=254, g=254, b=253)",0.5246088488239561,"Rgb(r=198, g=136, b=38)",0.4753911511760439,Rustic Bridal Bouquet,1,83,320,7,#fefefd
1520,img_1542_2998_54_Laptop.jpg.jpg,1542,2998,Laptop,54,Pillow_select/Page_9_48.jpg,Page_9_48,479,450,215550,-3,29,483,458,0.6617833002791997,311.2591364120899,"Rgb(r=24, g=46, b=26)",0.7190614595994292,"Rgb(r=254, g=254, b=254)",0.28093854040057076,A Juicy Bunch,0,877,1293,531,#182e1a
1521,img_1543_3002_465_Furniture.jpg.jpg,1543,3002,Furniture,465,Pillow_select/Page_9_50.jpg,Page_9_50,479,341,163339,-16,90,517,341,0.608540143179669,255.51223062702888,"Rgb(r=178, g=151, b=142)",0.5169006583494805,"Rgb(r=112, g=98, b=94)",0.48309934165051954,Blank Expression,3,386,529,558,#b2978e
1522,img_1544_3003_432_Clothing.jpg.jpg,1544,3003,Clothing,432,Pillow_select/Page_9_52.jpg,Page_9_52,431,440,189640,28,19,431,440,0.7250499113659251,315.7423791637733,"Rgb(r=19, g=19, b=18)",0.6906423700647527,"Rgb(r=227, g=222, b=217)",0.3093576299352473,Stark Contrast,3,1373,1058,801,#131312
1523,img_1545_3006_465_Furniture.jpg.jpg,1545,3006,Furniture,465,Pillow_select/Page_9_53.jpg,Page_9_53,479,444,212676,-4,17,492,444,0.6785802398195669,317.15768948584554,"Rgb(r=254, g=254, b=254)",0.6168824798901315,"Rgb(r=66, g=47, b=35)",0.38311752010986855,Morning Sun,0,901,1019,1107,#fefefe
1524,img_1546_3008_465_Furniture.jpg.jpg,1546,3008,Furniture,465,Pillow_select/Page_9_56.jpg,Page_9_56,427,362,154574,20,58,427,362,0.6712684486159487,263.9152326031978,"Rgb(r=167, g=160, b=151)",0.5143277692524506,"Rgb(r=45, g=35, b=27)",0.4856722307475494,Happy Cactus,2,1006,477,154,#a7a097
1525,img_1547_3009_465_Furniture.jpg.jpg,1547,3009,Furniture,465,Pillow_select/Page_9_57.jpg,Page_9_57,466,295,137470,4,93,466,295,0.6558944256782855,243.18562868722321,"Rgb(r=69, g=95, b=113)",0.5254642925521731,"Rgb(r=254, g=254, b=254)",0.4745357074478269,Evening Woods,2,146,1392,892,#455f71
1526,img_1548_3010_432_Clothing.jpg.jpg,1548,3010,Clothing,432,Pillow_select/Page_9_58.jpg,Page_9_58,449,457,205193,18,8,448,457,0.7235497197944949,327.3900578820316,"Rgb(r=236, g=229, b=211)",0.7825970475669765,"Rgb(r=188, g=174, b=142)",0.21740295243302352,Boquet Toss,0,624,1399,558,#ece5d3
1527,img_1549_3011_560_Animal.jpg.jpg,1549,3011,Animal,560,Pillow_select/Page_9_59.jpg,Page_9_59,385,345,132825,29,62,384,346,0.678480199076951,247.30952266340248,"Rgb(r=97, g=95, b=83)",0.5464062404529624,"Rgb(r=90, g=92, b=90)",0.4535937595470376,Burger and Fries,0,191,225,1449,#615f53
